image_path,class,Non_Demented,Very_Mild_Demented,Mild_Demented,Moderate_Demented,Max_Confidence,Max_Confidence_Class
Benchmark\Non_Demented\non_871.jpg,Non_Demented,0.9911314845085144,0.005820149090141058,0.0017534755170345306,0.001294894376769662,0.9911314845085144,Non_Demented
Benchmark\Non_Demented\non_3104.jpg,Non_Demented,0.9929960370063782,0.0028348194900900126,0.0021891677752137184,0.0019799184519797564,0.9929960370063782,Non_Demented
Benchmark\Very_Mild_Demented\augmented_80_verymild_136.jpg,Very_Mild_Demented,0.0017988731851801276,0.9903649687767029,0.006439773365855217,0.0013963886303827167,0.9903649687767029,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_123_verymild_2182.jpg,Very_Mild_Demented,0.0024007370229810476,0.9908620119094849,0.0037774730008095503,0.002959764562547207,0.9908620119094849,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_182_moderate_53.jpg,Moderate_Demented,0.001196059980429709,0.0005344712408259511,0.0006327377050183713,0.9976367950439453,0.9976367950439453,Moderate_Demented
Benchmark\Mild_Demented\augmented_150_mild_261.jpg,Mild_Demented,0.0018729378934949636,0.0020802770741283894,0.9939464926719666,0.002100355224683881,0.9939464926719666,Mild_Demented
Benchmark\Non_Demented\non_3193.jpg,Non_Demented,0.9921259880065918,0.004188154824078083,0.0019984571263194084,0.0016872703563421965,0.9921259880065918,Non_Demented
Benchmark\Very_Mild_Demented\verymild_1812.jpg,Very_Mild_Demented,0.004966774955391884,0.9906148910522461,0.0021196624729782343,0.0022986808326095343,0.9906148910522461,Very_Mild_Demented
Benchmark\Mild_Demented\augmented_25_mild_523.jpg,Mild_Demented,0.002244354458525777,0.0023750693071633577,0.9927756786346436,0.0026048775762319565,0.9927756786346436,Mild_Demented
Benchmark\Moderate_Demented\augmented_11_moderate_38.jpg,Moderate_Demented,0.000863973400555551,0.0006643657688982785,0.0005848161526955664,0.9978868365287781,0.9978868365287781,Moderate_Demented
Benchmark\Non_Demented\non_1703.jpg,Non_Demented,0.9941291809082031,0.001762816566042602,0.0018103383481502533,0.002297641709446907,0.9941291809082031,Non_Demented
Benchmark\Non_Demented\non_1611.jpg,Non_Demented,0.9920347332954407,0.0038959383964538574,0.0023024475667625666,0.0017668686341494322,0.9920347332954407,Non_Demented
Benchmark\Mild_Demented\augmented_100_mild_408.jpg,Mild_Demented,0.0017262499313801527,0.0025779446586966515,0.9941853880882263,0.001510319416411221,0.9941853880882263,Mild_Demented
Benchmark\Very_Mild_Demented\verymild_1418.jpg,Very_Mild_Demented,0.0034616373013705015,0.9874528050422668,0.006748314015567303,0.0023372736759483814,0.9874528050422668,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_238_moderate_23.jpg,Moderate_Demented,0.0007675046217627823,0.0005320371128618717,0.0006791884661652148,0.9980212450027466,0.9980212450027466,Moderate_Demented
Benchmark\Moderate_Demented\augmented_179_moderate_38.jpg,Moderate_Demented,0.0007983194082044065,0.0005198256694711745,0.0006974443094804883,0.9979845285415649,0.9979845285415649,Moderate_Demented
Benchmark\Mild_Demented\mild_78.jpg,Mild_Demented,0.004254528321325779,0.0029488347936421633,0.9896793365478516,0.0031172942835837603,0.9896793365478516,Mild_Demented
Benchmark\Very_Mild_Demented\augmented_166_verymild_1284.jpg,Very_Mild_Demented,0.0021494587417691946,0.9905532598495483,0.005178879480808973,0.0021184172946959734,0.9905532598495483,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_105_verymild_2100.jpg,Very_Mild_Demented,0.0009241324733011425,0.031967081129550934,0.9653993844985962,0.001709458534605801,0.9653993844985962,Mild_Demented
Benchmark\Very_Mild_Demented\augmented_37_verymild_257.jpg,Very_Mild_Demented,0.0018266580300405622,0.9578053951263428,0.037357717752456665,0.003010230138897896,0.9578053951263428,Very_Mild_Demented
Benchmark\Mild_Demented\augmented_121_mild_591.jpg,Mild_Demented,0.002231523860245943,0.17658662796020508,0.8166001439094543,0.004581729415804148,0.8166001439094543,Mild_Demented
Benchmark\Very_Mild_Demented\augmented_85_verymild_1348.jpg,Very_Mild_Demented,0.002257521729916334,0.9623833894729614,0.0339321531355381,0.0014269179664552212,0.9623833894729614,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_50_moderate_22.jpg,Moderate_Demented,0.0006650752620771527,0.0005703708156943321,0.0007580418605357409,0.9980065226554871,0.9980065226554871,Moderate_Demented
Benchmark\Non_Demented\non_2247.jpg,Non_Demented,0.9505820274353027,0.04613358899950981,0.0014477202203124762,0.0018367287702858448,0.9505820274353027,Non_Demented
Benchmark\Moderate_Demented\augmented_85_moderate_12.jpg,Moderate_Demented,0.000612936622928828,0.000729952531401068,0.000756958790589124,0.997900128364563,0.997900128364563,Moderate_Demented
Benchmark\Very_Mild_Demented\augmented_207_verymild_1653.jpg,Very_Mild_Demented,0.0021622367203235626,0.9910998940467834,0.00444036116823554,0.0022975734900683165,0.9910998940467834,Very_Mild_Demented
Benchmark\Non_Demented\non_569.jpg,Non_Demented,0.9911311268806458,0.0061500947922468185,0.0015640449710190296,0.0011547368485480547,0.9911311268806458,Non_Demented
Benchmark\Mild_Demented\augmented_216_mild_326.jpg,Mild_Demented,0.0013486166717484593,0.006588652264326811,0.9910416007041931,0.0010212069610133767,0.9910416007041931,Mild_Demented
Benchmark\Moderate_Demented\augmented_223_moderate_42.jpg,Moderate_Demented,0.0007692890940234065,0.0005936769885011017,0.0006566878291778266,0.9979804158210754,0.9979804158210754,Moderate_Demented
Benchmark\Moderate_Demented\augmented_162_moderate_25.jpg,Moderate_Demented,0.0009647210245020688,0.0006823333678767085,0.0011745782103389502,0.997178316116333,0.997178316116333,Moderate_Demented
Benchmark\Non_Demented\non_571.jpg,Non_Demented,0.9844498038291931,0.012475809082388878,0.0013980866642668843,0.0016762431478127837,0.9844498038291931,Non_Demented
Benchmark\Non_Demented\non_1253.jpg,Non_Demented,0.9936668276786804,0.002886987291276455,0.0014630247605964541,0.0019831627141684294,0.9936668276786804,Non_Demented
Benchmark\Mild_Demented\mild_253.jpg,Mild_Demented,0.0018967720679938793,0.005832245573401451,0.9905611872673035,0.0017097423551604152,0.9905611872673035,Mild_Demented
Benchmark\Moderate_Demented\augmented_35_moderate_14.jpg,Moderate_Demented,0.0006777397939004004,0.0005972631042823195,0.0008007415453903377,0.9979242086410522,0.9979242086410522,Moderate_Demented
Benchmark\Mild_Demented\mild_113.jpg,Mild_Demented,0.0016276889946311712,0.008582301437854767,0.9879865050315857,0.0018035672837868333,0.9879865050315857,Mild_Demented
Benchmark\Moderate_Demented\augmented_94_moderate_38.jpg,Moderate_Demented,0.0007983992109075189,0.0006278697983361781,0.0006131919217295945,0.9979605674743652,0.9979605674743652,Moderate_Demented
Benchmark\Mild_Demented\augmented_258_mild_529.jpg,Mild_Demented,0.0021414696238934994,0.18345557153224945,0.8130680322647095,0.0013349925866350532,0.8130680322647095,Mild_Demented
Benchmark\Very_Mild_Demented\augmented_195_verymild_2183.jpg,Very_Mild_Demented,0.00221834983676672,0.9861688017845154,0.010064970701932907,0.0015478780260309577,0.9861688017845154,Very_Mild_Demented
Benchmark\Very_Mild_Demented\verymild_291.jpg,Very_Mild_Demented,0.0030050629284232855,0.9913517236709595,0.0034189221914857626,0.0022242716513574123,0.9913517236709595,Very_Mild_Demented
Benchmark\Non_Demented\non_986.jpg,Non_Demented,0.9843972325325012,0.012005927041172981,0.0022002975456416607,0.0013966008555144072,0.9843972325325012,Non_Demented
Benchmark\Non_Demented\non_174.jpg,Non_Demented,0.0376335047185421,0.9583401083946228,0.0021509856451302767,0.0018754128832370043,0.9583401083946228,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_190_moderate_30.jpg,Moderate_Demented,0.0007659961120225489,0.0006778961978852749,0.0006623702356591821,0.997893750667572,0.997893750667572,Moderate_Demented
Benchmark\Non_Demented\non_437.jpg,Non_Demented,0.8820090293884277,0.011368140578269958,0.09546592086553574,0.011156882159411907,0.8820090293884277,Non_Demented
Benchmark\Mild_Demented\mild_56.jpg,Mild_Demented,0.030129142105579376,0.0062473732978105545,0.9503172636032104,0.013306195847690105,0.9503172636032104,Mild_Demented
Benchmark\Mild_Demented\augmented_21_mild_530.jpg,Mild_Demented,0.0013714127708226442,0.0052549042738974094,0.9915811419487,0.0017924648709595203,0.9915811419487,Mild_Demented
Benchmark\Non_Demented\non_1310.jpg,Non_Demented,0.9906461238861084,0.006495811976492405,0.001134295598603785,0.0017238464206457138,0.9906461238861084,Non_Demented
Benchmark\Moderate_Demented\augmented_41_moderate_38.jpg,Moderate_Demented,0.0007670325576327741,0.0006057400605641305,0.000607069639954716,0.9980201721191406,0.9980201721191406,Moderate_Demented
