image_path,class,predict,Mild_Demented,Moderate_Demented,Non_Demented,Very_Mild_Demented
Benchmark\Non_Demented\non_871.jpg,Non_Demented,Non_Demented,0.029196635,1.1630323e-06,0.5712956,0.3995066
Benchmark\Non_Demented\non_3104.jpg,Non_Demented,Non_Demented,0.0051268917,5.5434616e-06,0.7414617,0.2534058
Benchmark\Very_Mild_Demented\augmented_80_verymild_136.jpg,Very_Mild_Demented,Mild_Demented,0.59434015,0.0038792875,2.6118485e-08,0.40178052
Benchmark\Very_Mild_Demented\augmented_123_verymild_2182.jpg,Very_Mild_Demented,Mild_Demented,0.4652982,0.25155848,5.6797173e-05,0.28308648
Benchmark\Moderate_Demented\augmented_182_moderate_53.jpg,Moderate_Demented,Moderate_Demented,0.073426895,0.9209765,2.0934892e-09,0.005596624
Benchmark\Mild_Demented\augmented_150_mild_261.jpg,Mild_Demented,Mild_Demented,0.45372742,0.3010676,3.157531e-06,0.24520181
Benchmark\Non_Demented\non_3193.jpg,Non_Demented,Non_Demented,0.065502964,0.0016975031,0.5034582,0.42934135
Benchmark\Very_Mild_Demented\verymild_1812.jpg,Very_Mild_Demented,Very_Mild_Demented,0.2779536,0.0022754103,0.23990916,0.47986186
Benchmark\Mild_Demented\augmented_25_mild_523.jpg,Mild_Demented,Mild_Demented,0.5429714,0.09357944,1.8220888e-07,0.36344898
Benchmark\Moderate_Demented\augmented_11_moderate_38.jpg,Moderate_Demented,Moderate_Demented,0.24374232,0.6202498,9.458418e-07,0.1360069
Benchmark\Non_Demented\non_1703.jpg,Non_Demented,Non_Demented,5.4391978e-05,7.638813e-17,0.9944404,0.0055052345
Benchmark\Non_Demented\non_1611.jpg,Non_Demented,Non_Demented,0.05877552,0.00022877827,0.58267236,0.35832343
Benchmark\Mild_Demented\augmented_100_mild_408.jpg,Mild_Demented,Moderate_Demented,0.30257684,0.6628718,4.7116094e-10,0.034551367
Benchmark\Very_Mild_Demented\verymild_1418.jpg,Very_Mild_Demented,Very_Mild_Demented,0.35097322,3.4253508e-06,0.16202703,0.48699638
Benchmark\Moderate_Demented\augmented_238_moderate_23.jpg,Moderate_Demented,Moderate_Demented,0.088374905,0.9023757,2.9048017e-09,0.009249402
Benchmark\Moderate_Demented\augmented_179_moderate_38.jpg,Moderate_Demented,Very_Mild_Demented,0.32500553,0.15881246,0.0016296586,0.5145523
Benchmark\Mild_Demented\mild_78.jpg,Mild_Demented,Mild_Demented,0.41767704,0.0011632985,0.19770765,0.38345203
Benchmark\Very_Mild_Demented\augmented_166_verymild_1284.jpg,Very_Mild_Demented,Very_Mild_Demented,0.19585112,3.2390105e-08,1.004737e-05,0.8041389
Benchmark\Very_Mild_Demented\augmented_105_verymild_2100.jpg,Very_Mild_Demented,Mild_Demented,0.55641323,0.31755996,6.21137e-07,0.12602621
Benchmark\Very_Mild_Demented\augmented_37_verymild_257.jpg,Very_Mild_Demented,Mild_Demented,0.72642136,0.026735106,6.871695e-06,0.2468367
Benchmark\Mild_Demented\augmented_121_mild_591.jpg,Mild_Demented,Very_Mild_Demented,0.22667682,0.017081268,0.0011067891,0.75513506
Benchmark\Very_Mild_Demented\augmented_85_verymild_1348.jpg,Very_Mild_Demented,Mild_Demented,0.6519029,0.031910695,1.5160373e-08,0.3161864
Benchmark\Moderate_Demented\augmented_50_moderate_22.jpg,Moderate_Demented,Moderate_Demented,0.102078214,0.8331777,6.037634e-07,0.06474344
Benchmark\Non_Demented\non_2247.jpg,Non_Demented,Non_Demented,0.040819,5.9730566e-05,0.5873879,0.37173334
Benchmark\Moderate_Demented\augmented_85_moderate_12.jpg,Moderate_Demented,Moderate_Demented,0.14789928,0.73253566,9.4469315e-06,0.1195556
Benchmark\Very_Mild_Demented\augmented_207_verymild_1653.jpg,Very_Mild_Demented,Mild_Demented,0.45394582,0.10071708,0.00036433816,0.4449727
Benchmark\Non_Demented\non_569.jpg,Non_Demented,Very_Mild_Demented,0.12635453,1.4000006e-05,0.4150986,0.45853284
Benchmark\Mild_Demented\augmented_216_mild_326.jpg,Mild_Demented,Mild_Demented,0.37908265,0.33369124,7.2592986e-05,0.28715354
Benchmark\Moderate_Demented\augmented_223_moderate_42.jpg,Moderate_Demented,Mild_Demented,0.49559626,0.17642693,0.00027487474,0.32770193
Benchmark\Moderate_Demented\augmented_162_moderate_25.jpg,Moderate_Demented,Moderate_Demented,0.10196566,0.8871242,8.2501533e-10,0.010910127
Benchmark\Non_Demented\non_571.jpg,Non_Demented,Non_Demented,6.5977576e-07,2.9016733e-27,0.99996316,3.611913e-05
Benchmark\Non_Demented\non_1253.jpg,Non_Demented,Non_Demented,0.00049719785,1.57026e-12,0.97938627,0.020116506
Benchmark\Mild_Demented\mild_253.jpg,Mild_Demented,Non_Demented,0.27204692,5.568516e-06,0.38395658,0.3439909
Benchmark\Moderate_Demented\augmented_35_moderate_14.jpg,Moderate_Demented,Moderate_Demented,0.20014709,0.69205606,1.714638e-06,0.10779512
Benchmark\Mild_Demented\mild_113.jpg,Mild_Demented,Very_Mild_Demented,0.25490427,0.0032128498,0.32663408,0.41524884
Benchmark\Moderate_Demented\augmented_94_moderate_38.jpg,Moderate_Demented,Very_Mild_Demented,0.1483672,0.19456914,0.08292907,0.5741345
Benchmark\Mild_Demented\augmented_258_mild_529.jpg,Mild_Demented,Mild_Demented,0.58220714,0.11351049,3.815348e-06,0.30427858
Benchmark\Very_Mild_Demented\augmented_195_verymild_2183.jpg,Very_Mild_Demented,Moderate_Demented,0.17636015,0.64304733,2.6464577e-05,0.18056607
Benchmark\Very_Mild_Demented\verymild_291.jpg,Very_Mild_Demented,Non_Demented,0.007768614,1.61699e-05,0.6526957,0.33951947
Benchmark\Non_Demented\non_986.jpg,Non_Demented,Non_Demented,0.06848316,8.425714e-05,0.54625297,0.38517958
Benchmark\Non_Demented\non_174.jpg,Non_Demented,Mild_Demented,0.57962775,0.00025356156,0.1801058,0.24001288
Benchmark\Moderate_Demented\augmented_190_moderate_30.jpg,Moderate_Demented,Moderate_Demented,0.09411308,0.83241963,1.8362572e-06,0.07346544
Benchmark\Non_Demented\non_437.jpg,Non_Demented,Very_Mild_Demented,0.33811158,0.010470528,0.24965575,0.4017621
Benchmark\Mild_Demented\mild_56.jpg,Mild_Demented,Non_Demented,0.019277487,0.0004254617,0.58092034,0.39937675
Benchmark\Mild_Demented\augmented_21_mild_530.jpg,Mild_Demented,Mild_Demented,0.76684606,0.023976186,2.1800588e-07,0.2091776
Benchmark\Non_Demented\non_1310.jpg,Non_Demented,Non_Demented,0.02332766,2.2155615e-05,0.7265178,0.2501323
Benchmark\Moderate_Demented\augmented_41_moderate_38.jpg,Moderate_Demented,Moderate_Demented,0.22092181,0.6358374,7.0356914e-06,0.14323382
Benchmark\Very_Mild_Demented\augmented_131_verymild_1707.jpg,Very_Mild_Demented,Moderate_Demented,0.3797199,0.47909448,1.4443391e-05,0.14117114
Benchmark\Mild_Demented\augmented_238_mild_737.jpg,Mild_Demented,Mild_Demented,0.69558823,0.13151622,1.5585688e-06,0.17289393
Benchmark\Non_Demented\non_482.jpg,Non_Demented,Non_Demented,0.0005130356,1.3792678e-11,0.96828383,0.031203056
Benchmark\Non_Demented\non_618.jpg,Non_Demented,Non_Demented,7.377609e-06,3.3037279e-21,0.9992731,0.00071952905
Benchmark\Moderate_Demented\augmented_118_moderate_24.jpg,Moderate_Demented,Moderate_Demented,0.2547381,0.46459627,4.615244e-05,0.28061947
Benchmark\Mild_Demented\augmented_204_mild_165.jpg,Mild_Demented,Mild_Demented,0.6119013,0.026327964,0.00013983909,0.3616309
Benchmark\Very_Mild_Demented\verymild_1974.jpg,Very_Mild_Demented,Non_Demented,0.04484199,1.0514821e-06,0.5023352,0.4528218
Benchmark\Very_Mild_Demented\verymild_1573.jpg,Very_Mild_Demented,Non_Demented,0.06759628,0.0014863546,0.5402349,0.39068243
Benchmark\Very_Mild_Demented\verymild_713.jpg,Very_Mild_Demented,Non_Demented,0.07261766,0.004705887,0.49424624,0.4284302
Benchmark\Very_Mild_Demented\verymild_1719.jpg,Very_Mild_Demented,Non_Demented,0.06641737,1.6662221e-05,0.5701097,0.36345625
Benchmark\Mild_Demented\mild_673.jpg,Mild_Demented,Very_Mild_Demented,0.28023273,0.00030888396,0.3029835,0.41647494
Benchmark\Mild_Demented\augmented_249_mild_589.jpg,Mild_Demented,Mild_Demented,0.7375434,0.06521813,1.9760716e-06,0.19723651
Benchmark\Non_Demented\non_2949.jpg,Non_Demented,Very_Mild_Demented,0.20246266,0.00035674538,0.31784335,0.47933725
Benchmark\Very_Mild_Demented\augmented_35_verymild_142.jpg,Very_Mild_Demented,Very_Mild_Demented,0.34838578,0.057161387,1.7196304e-06,0.5944511
Benchmark\Very_Mild_Demented\augmented_68_verymild_1578.jpg,Very_Mild_Demented,Very_Mild_Demented,0.15071318,9.5153587e-07,1.5466083e-05,0.84927046
Benchmark\Mild_Demented\augmented_66_mild_3.jpg,Mild_Demented,Mild_Demented,0.7539966,0.0015670579,2.4702078e-07,0.24443607
Benchmark\Moderate_Demented\augmented_238_moderate_58.jpg,Moderate_Demented,Moderate_Demented,0.058877416,0.87580013,1.422471e-06,0.065321006
Benchmark\Moderate_Demented\augmented_176_moderate_53.jpg,Moderate_Demented,Moderate_Demented,0.052625716,0.94436485,9.2123385e-11,0.0030094408
Benchmark\Very_Mild_Demented\verymild_824.jpg,Very_Mild_Demented,Non_Demented,0.020012828,1.7020846e-05,0.7263083,0.25366193
Benchmark\Mild_Demented\augmented_129_mild_154.jpg,Mild_Demented,Very_Mild_Demented,0.23143004,0.19198014,6.0530132e-05,0.5765293
Benchmark\Non_Demented\non_3053.jpg,Non_Demented,Non_Demented,0.0059417333,7.0245237e-06,0.6475706,0.34648058
Benchmark\Very_Mild_Demented\verymild_2024.jpg,Very_Mild_Demented,Very_Mild_Demented,0.2174092,0.013467481,0.19121148,0.57791185
Benchmark\Non_Demented\non_1299.jpg,Non_Demented,Non_Demented,0.008053015,1.213094e-05,0.7298361,0.26209876
Benchmark\Non_Demented\non_3118.jpg,Non_Demented,Non_Demented,0.0047348742,2.1173303e-06,0.7631926,0.23207043
Benchmark\Very_Mild_Demented\verymild_119.jpg,Very_Mild_Demented,Non_Demented,0.010612702,7.6307646e-05,0.63529336,0.35401762
Benchmark\Mild_Demented\augmented_66_mild_757.jpg,Mild_Demented,Mild_Demented,0.8178146,0.012290269,1.5246675e-08,0.16989511
Benchmark\Moderate_Demented\augmented_93_moderate_32.jpg,Moderate_Demented,Mild_Demented,0.48525044,0.24900767,0.0005321541,0.26520973
Benchmark\Very_Mild_Demented\augmented_146_verymild_1944.jpg,Very_Mild_Demented,Very_Mild_Demented,0.03271524,4.5715674e-07,0.11718382,0.8501004
Benchmark\Mild_Demented\augmented_168_mild_312.jpg,Mild_Demented,Mild_Demented,0.3650327,0.30363527,1.3825846e-06,0.33133057
Benchmark\Non_Demented\non_2577.jpg,Non_Demented,Non_Demented,0.022423524,2.5677427e-05,0.6991228,0.27842793
Benchmark\Mild_Demented\augmented_50_mild_475.jpg,Mild_Demented,Mild_Demented,0.6883653,0.0009230796,3.3395145e-07,0.3107113
Benchmark\Very_Mild_Demented\verymild_494.jpg,Very_Mild_Demented,Non_Demented,0.002289619,5.6199944e-08,0.8160246,0.1816857
Benchmark\Non_Demented\non_818.jpg,Non_Demented,Non_Demented,0.0004178803,1.1755351e-12,0.9782762,0.021305906
Benchmark\Moderate_Demented\augmented_31_moderate_42.jpg,Moderate_Demented,Moderate_Demented,0.1030148,0.8233583,6.414864e-07,0.0736262
Benchmark\Moderate_Demented\augmented_140_moderate_51.jpg,Moderate_Demented,Moderate_Demented,0.0996666,0.8901662,1.371615e-09,0.010167229
Benchmark\Very_Mild_Demented\augmented_63_verymild_273.jpg,Very_Mild_Demented,Mild_Demented,0.40140724,0.3602906,6.5667456e-07,0.23830149
Benchmark\Very_Mild_Demented\verymild_781.jpg,Very_Mild_Demented,Very_Mild_Demented,0.024268502,1.837931e-06,0.46761477,0.5081149
Benchmark\Very_Mild_Demented\augmented_140_verymild_1934.jpg,Very_Mild_Demented,Moderate_Demented,0.18313436,0.7865175,6.83341e-08,0.030348027
Benchmark\Very_Mild_Demented\verymild_2052.jpg,Very_Mild_Demented,Non_Demented,0.007608636,1.604222e-05,0.6994623,0.29291302
Benchmark\Mild_Demented\augmented_55_mild_707.jpg,Mild_Demented,Mild_Demented,0.6317623,0.19237052,9.939759e-08,0.1758671
Benchmark\Moderate_Demented\augmented_78_moderate_35.jpg,Moderate_Demented,Moderate_Demented,0.062296446,0.9334979,2.5141167e-11,0.004205721
Benchmark\Moderate_Demented\augmented_41_moderate_49.jpg,Moderate_Demented,Moderate_Demented,0.10502801,0.8816598,2.202655e-09,0.013312094
Benchmark\Moderate_Demented\augmented_140_moderate_34.jpg,Moderate_Demented,Moderate_Demented,0.17416045,0.7142628,3.835591e-06,0.11157293
Benchmark\Very_Mild_Demented\verymild_667.jpg,Very_Mild_Demented,Mild_Demented,0.4069476,3.7042362e-05,0.24349788,0.34951752
Benchmark\Moderate_Demented\augmented_247_moderate_34.jpg,Moderate_Demented,Mild_Demented,0.3843566,0.3543109,1.5852332e-07,0.26133236
Benchmark\Very_Mild_Demented\verymild_2210.jpg,Very_Mild_Demented,Non_Demented,0.072091185,7.970993e-06,0.5317988,0.39610213
Benchmark\Moderate_Demented\augmented_116_moderate_34.jpg,Moderate_Demented,Moderate_Demented,0.31991878,0.47697517,1.8630953e-05,0.20308743
Benchmark\Mild_Demented\augmented_103_mild_389.jpg,Mild_Demented,Mild_Demented,0.5129812,0.09009084,1.2480505e-08,0.39692792
Benchmark\Non_Demented\non_771.jpg,Non_Demented,Non_Demented,0.01668298,2.1946573e-07,0.54873484,0.43458194
Benchmark\Mild_Demented\augmented_114_mild_403.jpg,Mild_Demented,Mild_Demented,0.4844699,0.1232042,1.3373044e-06,0.39232448
Benchmark\Moderate_Demented\augmented_167_moderate_40.jpg,Moderate_Demented,Mild_Demented,0.50910413,0.25070387,1.0208342e-05,0.24018176
Benchmark\Non_Demented\non_2557.jpg,Non_Demented,Mild_Demented,0.3627476,0.0006850837,0.29572013,0.34084713
Benchmark\Very_Mild_Demented\verymild_1171.jpg,Very_Mild_Demented,Mild_Demented,0.43515188,0.0046570655,0.29972944,0.26046163
Benchmark\Very_Mild_Demented\augmented_6_verymild_173.jpg,Very_Mild_Demented,Moderate_Demented,0.22101405,0.562258,0.00017238811,0.21655561
Benchmark\Non_Demented\non_772.jpg,Non_Demented,Non_Demented,0.055538088,6.311304e-05,0.60840684,0.33599186
Benchmark\Moderate_Demented\augmented_175_moderate_16.jpg,Moderate_Demented,Moderate_Demented,0.08069678,0.8328678,2.2636701e-05,0.08641277
Benchmark\Very_Mild_Demented\verymild_948.jpg,Very_Mild_Demented,Non_Demented,0.00028311057,5.659284e-13,0.9532543,0.04646271
Benchmark\Mild_Demented\augmented_93_mild_117.jpg,Mild_Demented,Mild_Demented,0.66398335,0.00042776403,1.5531045e-08,0.3355889
Benchmark\Non_Demented\non_1609.jpg,Non_Demented,Non_Demented,0.030309584,0.001622205,0.5211361,0.44693208
Benchmark\Moderate_Demented\augmented_216_moderate_55.jpg,Moderate_Demented,Moderate_Demented,0.080545835,0.9104189,9.768667e-10,0.009035244
Benchmark\Moderate_Demented\augmented_155_moderate_28.jpg,Moderate_Demented,Moderate_Demented,0.08130624,0.8544686,1.6249808e-06,0.064223506
Benchmark\Non_Demented\non_20.jpg,Non_Demented,Non_Demented,0.0023268897,9.6622216e-08,0.8025355,0.19513752
Benchmark\Moderate_Demented\augmented_44_moderate_13.jpg,Moderate_Demented,Moderate_Demented,0.26421633,0.6856039,7.1361605e-08,0.050179686
Benchmark\Mild_Demented\augmented_2_mild_597.jpg,Mild_Demented,Mild_Demented,0.546728,0.09886213,0.00040183266,0.35400802
Benchmark\Mild_Demented\augmented_198_mild_723.jpg,Mild_Demented,Mild_Demented,0.65801334,0.0039928094,0.0002642593,0.33772954
Benchmark\Non_Demented\non_2995.jpg,Non_Demented,Very_Mild_Demented,0.23188974,0.00077852677,0.25538418,0.5119475
Benchmark\Very_Mild_Demented\augmented_234_verymild_1450.jpg,Very_Mild_Demented,Mild_Demented,0.37340003,0.37063593,0.000100596626,0.25586343
Benchmark\Mild_Demented\mild_236.jpg,Mild_Demented,Mild_Demented,0.41881967,0.03292852,0.18506852,0.36318332
Benchmark\Mild_Demented\augmented_104_mild_765.jpg,Mild_Demented,Mild_Demented,0.4640719,0.4569332,1.2920675e-07,0.07899483
Benchmark\Moderate_Demented\augmented_227_moderate.jpg,Moderate_Demented,Moderate_Demented,0.3227674,0.5917513,8.914162e-07,0.08548051
Benchmark\Moderate_Demented\augmented_115_moderate_45.jpg,Moderate_Demented,Moderate_Demented,0.23523547,0.7226271,1.9272955e-08,0.042137414
Benchmark\Mild_Demented\augmented_193_mild_11.jpg,Mild_Demented,Very_Mild_Demented,0.46679723,0.0060873167,0.011924862,0.51519066
Benchmark\Moderate_Demented\augmented_16_moderate_18.jpg,Moderate_Demented,Moderate_Demented,0.3470353,0.49278533,4.249067e-07,0.16017894
Benchmark\Mild_Demented\augmented_46_mild_457.jpg,Mild_Demented,Mild_Demented,0.4764713,0.40175474,8.5110537e-07,0.1217731
Benchmark\Very_Mild_Demented\verymild_2195.jpg,Very_Mild_Demented,Mild_Demented,0.45253047,1.9261588e-06,0.111123726,0.4363439
Benchmark\Non_Demented\non_1968.jpg,Non_Demented,Non_Demented,1.1869713e-05,4.554708e-21,0.99827504,0.0017131127
Benchmark\Very_Mild_Demented\verymild_1716.jpg,Very_Mild_Demented,Very_Mild_Demented,0.09644323,5.344429e-07,0.05125594,0.8523003
Benchmark\Mild_Demented\augmented_179_mild_714.jpg,Mild_Demented,Mild_Demented,0.55085534,0.017958777,0.0076850136,0.42350084
Benchmark\Mild_Demented\augmented_25_mild_527.jpg,Mild_Demented,Mild_Demented,0.6706397,0.013252156,1.0165702e-05,0.31609806
Benchmark\Mild_Demented\mild_312.jpg,Mild_Demented,Very_Mild_Demented,0.1924177,6.425084e-05,0.32267246,0.48484564
Benchmark\Mild_Demented\augmented_197_mild.jpg,Mild_Demented,Mild_Demented,0.6108849,0.009317276,0.0011091448,0.37868866
Benchmark\Non_Demented\non_700.jpg,Non_Demented,Non_Demented,0.0021642665,3.4922756e-08,0.81975573,0.17808
Benchmark\Non_Demented\non_3186.jpg,Non_Demented,Non_Demented,0.017276874,0.00032734976,0.57409036,0.4083054
Benchmark\Very_Mild_Demented\verymild_1661.jpg,Very_Mild_Demented,Mild_Demented,0.35579216,0.00039260238,0.3135073,0.33030796
Benchmark\Non_Demented\non_2029.jpg,Non_Demented,Non_Demented,0.001430378,2.2800883e-08,0.8235788,0.17499079
Benchmark\Non_Demented\non_2295.jpg,Non_Demented,Very_Mild_Demented,0.20773168,0.0023421391,0.22099309,0.5689331
Benchmark\Non_Demented\non_2820.jpg,Non_Demented,Non_Demented,0.0014437742,1.2550588e-08,0.85670406,0.1418522
Benchmark\Non_Demented\non_1221.jpg,Non_Demented,Very_Mild_Demented,0.12769553,0.0029892456,0.4220234,0.4472918
Benchmark\Very_Mild_Demented\verymild_1269.jpg,Very_Mild_Demented,Non_Demented,0.004015252,2.979007e-06,0.68085635,0.31512532
Benchmark\Mild_Demented\augmented_170_mild_19.jpg,Mild_Demented,Mild_Demented,0.7394297,0.1455306,1.1609399e-06,0.11503856
Benchmark\Non_Demented\non_2341.jpg,Non_Demented,Non_Demented,0.006480938,4.1791274e-05,0.5539778,0.43949947
Benchmark\Mild_Demented\augmented_6_mild_450.jpg,Mild_Demented,Moderate_Demented,0.33550623,0.39390033,0.000129176,0.27046427
Benchmark\Moderate_Demented\augmented_27_moderate_60.jpg,Moderate_Demented,Moderate_Demented,0.18910693,0.5859853,0.00025205917,0.22465567
Benchmark\Moderate_Demented\augmented_61_moderate_20.jpg,Moderate_Demented,Moderate_Demented,0.069541916,0.874235,1.6562744e-06,0.056221522
Benchmark\Mild_Demented\augmented_33_mild_626.jpg,Mild_Demented,Mild_Demented,0.58770996,0.27537498,1.0859944e-07,0.13691494
Benchmark\Moderate_Demented\augmented_41_moderate_48.jpg,Moderate_Demented,Moderate_Demented,0.09147968,0.8319946,1.5368547e-06,0.076524176
Benchmark\Non_Demented\non_1300.jpg,Non_Demented,Non_Demented,0.0008732167,4.632214e-11,0.95445925,0.044667505
Benchmark\Mild_Demented\augmented_249_mild_576.jpg,Mild_Demented,Moderate_Demented,0.17974362,0.7988487,6.810335e-10,0.021407673
Benchmark\Very_Mild_Demented\verymild_189.jpg,Very_Mild_Demented,Non_Demented,0.0064371643,2.7707318e-05,0.6004533,0.3930818
Benchmark\Moderate_Demented\augmented_211_moderate_50.jpg,Moderate_Demented,Moderate_Demented,0.17667171,0.5669168,4.763467e-05,0.2563638
Benchmark\Mild_Demented\augmented_35_mild_547.jpg,Mild_Demented,Mild_Demented,0.70476484,0.006908438,2.8281835e-05,0.28829843
Benchmark\Non_Demented\non_674.jpg,Non_Demented,Non_Demented,3.653782e-05,2.26298e-18,0.9982881,0.0016753962
Benchmark\Non_Demented\non_1034.jpg,Non_Demented,Non_Demented,0.068007484,0.00038135087,0.57954663,0.35206458
Benchmark\Very_Mild_Demented\verymild_1733.jpg,Very_Mild_Demented,Very_Mild_Demented,0.24847935,0.0041140504,0.17554627,0.5718604
Benchmark\Mild_Demented\augmented_26_mild_798.jpg,Mild_Demented,Mild_Demented,0.5550837,0.04890662,0.00068779115,0.39532188
Benchmark\Very_Mild_Demented\augmented_166_verymild_1043.jpg,Very_Mild_Demented,Mild_Demented,0.845981,0.00032720304,8.5386176e-07,0.15369101
Benchmark\Mild_Demented\augmented_104_mild_44.jpg,Mild_Demented,Mild_Demented,0.81573474,0.00871683,1.0047246e-08,0.17554843
Benchmark\Moderate_Demented\augmented_165_moderate_11.jpg,Moderate_Demented,Moderate_Demented,0.16949533,0.8059284,1.8663887e-07,0.024576092
Benchmark\Non_Demented\non_634.jpg,Non_Demented,Non_Demented,0.003035466,1.111623e-06,0.689176,0.3077873
Benchmark\Non_Demented\non_1795.jpg,Non_Demented,Very_Mild_Demented,0.26298824,0.005338084,0.22145566,0.510218
Benchmark\Moderate_Demented\augmented_154_moderate_57.jpg,Moderate_Demented,Moderate_Demented,0.08902048,0.9010076,3.1061758e-09,0.009971913
Benchmark\Mild_Demented\augmented_132_mild_266.jpg,Mild_Demented,Moderate_Demented,0.23347814,0.4661877,0.00016514504,0.30016905
Benchmark\Very_Mild_Demented\verymild_1992.jpg,Very_Mild_Demented,Non_Demented,0.00024828245,5.8906975e-13,0.9416293,0.058122393
