image_path,class,predicted_class,Mild_Demented,Moderate_Demented,Non_Demented,Very_Mild_Demented
Benchmark\Non_Demented\non_871.jpg,Non_Demented,Non_Demented,0.03156667747594016,0.007692374253651584,0.848972999265679,0.1117679490047294
Benchmark\Non_Demented\non_3104.jpg,Non_Demented,Non_Demented,0.03352616157838997,0.013734971629546708,0.7757947187617917,0.17694414803027167
Benchmark\Very_Mild_Demented\augmented_80_verymild_136.jpg,Very_Mild_Demented,Moderate_Demented,0.2353265826783061,0.411673485856873,0.007729054398241528,0.34527087706657916
Benchmark\Very_Mild_Demented\augmented_123_verymild_2182.jpg,Very_Mild_Demented,Moderate_Demented,0.25551738214520237,0.43554161216846554,0.009088200841526152,0.29985280484480603
Benchmark\Moderate_Demented\augmented_182_moderate_53.jpg,Moderate_Demented,Moderate_Demented,0.2297121662496405,0.5788789521162411,0.009660254727710035,0.18174862690640833
Benchmark\Mild_Demented\augmented_150_mild_261.jpg,Mild_Demented,Mild_Demented,0.679270988788068,0.18639677673734986,0.007063240623134957,0.12726899385144708
Benchmark\Non_Demented\non_3193.jpg,Non_Demented,Non_Demented,0.08509237245222018,0.018959936002583014,0.690604259274606,0.2053434322705907
Benchmark\Very_Mild_Demented\verymild_1812.jpg,Very_Mild_Demented,Very_Mild_Demented,0.35392933725134396,0.03495960284550827,0.09216727874770368,0.518943781155444
Benchmark\Mild_Demented\augmented_25_mild_523.jpg,Mild_Demented,Very_Mild_Demented,0.3581295513501546,0.20734182171654433,0.01183287192047838,0.42269575501282264
Benchmark\Moderate_Demented\augmented_11_moderate_38.jpg,Moderate_Demented,Moderate_Demented,0.11945051413001499,0.7187238806581618,0.00519928750520289,0.1566263177066203
Benchmark\Non_Demented\non_1703.jpg,Non_Demented,Non_Demented,0.005935065788643589,0.002025803047724425,0.9724799595627525,0.019559171600879402
Benchmark\Non_Demented\non_1611.jpg,Non_Demented,Non_Demented,0.04492749283851528,0.010655374716734528,0.8099658134825933,0.13445131896215692
Benchmark\Mild_Demented\augmented_100_mild_408.jpg,Mild_Demented,Moderate_Demented,0.3933930221300543,0.5135104595389641,0.005490499709222417,0.08760601862175921
Benchmark\Very_Mild_Demented\verymild_1418.jpg,Very_Mild_Demented,Very_Mild_Demented,0.19191428754293868,0.026450256953263234,0.26820608998952294,0.5134293655142752
Benchmark\Moderate_Demented\augmented_238_moderate_23.jpg,Moderate_Demented,Moderate_Demented,0.08767592625773443,0.8643535560667251,0.0018845105923399783,0.04608600708320036
Benchmark\Moderate_Demented\augmented_179_moderate_38.jpg,Moderate_Demented,Moderate_Demented,0.059591444784606026,0.8354777869779585,0.03552223804952814,0.06940853018790727
Benchmark\Mild_Demented\mild_78.jpg,Mild_Demented,Mild_Demented,0.35440771655064096,0.03859745705569756,0.2541003121552316,0.3528945142384299
Benchmark\Very_Mild_Demented\augmented_166_verymild_1284.jpg,Very_Mild_Demented,Mild_Demented,0.5626874748754225,0.15464708082475082,0.008327184097093389,0.2743382602027333
Benchmark\Very_Mild_Demented\augmented_105_verymild_2100.jpg,Very_Mild_Demented,Moderate_Demented,0.2080328553770818,0.5455551610146085,0.010312039846584435,0.23609994376172527
Benchmark\Very_Mild_Demented\augmented_37_verymild_257.jpg,Very_Mild_Demented,Very_Mild_Demented,0.4020580030828371,0.04076081734156788,0.005937877502682761,0.5512433020729124
Benchmark\Mild_Demented\augmented_121_mild_591.jpg,Mild_Demented,Moderate_Demented,0.28995987777957355,0.39711785625070395,0.007744605759999473,0.305177660209723
Benchmark\Very_Mild_Demented\augmented_85_verymild_1348.jpg,Very_Mild_Demented,Mild_Demented,0.5937009828865251,0.17558876241410354,0.03253252906647381,0.19817772563289773
Benchmark\Moderate_Demented\augmented_50_moderate_22.jpg,Moderate_Demented,Moderate_Demented,0.3520402037396428,0.575302246791281,0.005384300728846488,0.06727324874022964
Benchmark\Non_Demented\non_2247.jpg,Non_Demented,Non_Demented,0.05404801169435225,0.01526364249098169,0.7154662639478896,0.21522208186677644
