image_path,class,Non_Demented,Very_Mild_Demented,Mild_Demented,Moderate_Demented,Max_Confidence,Max_Confidence_Class
Benchmark\Non_Demented\non_871.jpg,Non_Demented,0.9992213249206543,0.00044515772606246173,0.00018532495596446097,0.00014820240903645754,0.9992213249206543,Non_Demented
Benchmark\Non_Demented\non_3104.jpg,Non_Demented,0.9993475079536438,0.00024293952446896583,0.0002008982701227069,0.00020861724624410272,0.9993475079536438,Non_Demented
Benchmark\Very_Mild_Demented\augmented_80_verymild_136.jpg,Very_Mild_Demented,0.0002779094793368131,0.9992184638977051,0.0003739367239177227,0.00012971271644346416,0.9992184638977051,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_123_verymild_2182.jpg,Very_Mild_Demented,0.0002765519602689892,0.9991206526756287,0.0004027479444630444,0.00019999235519208014,0.9991206526756287,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_182_moderate_53.jpg,Moderate_Demented,7.247688336065039e-05,7.192617340479046e-05,5.797630728920922e-05,0.9997977614402771,0.9997977614402771,Moderate_Demented
Benchmark\Mild_Demented\augmented_150_mild_261.jpg,Mild_Demented,0.00024082294839899987,0.00037105425144545734,0.9991963505744934,0.00019172285101376474,0.9991963505744934,Mild_Demented
Benchmark\Non_Demented\non_3193.jpg,Non_Demented,0.9992700219154358,0.00026835326571017504,0.00018021455616690218,0.00028133695013821125,0.9992700219154358,Non_Demented
Benchmark\Very_Mild_Demented\verymild_1812.jpg,Very_Mild_Demented,0.0003258414217270911,0.9991751313209534,0.00034068632521666586,0.00015837290266063064,0.9991751313209534,Very_Mild_Demented
Benchmark\Mild_Demented\augmented_25_mild_523.jpg,Mild_Demented,0.000362180668162182,0.00028596227639354765,0.9991669654846191,0.0001849015970947221,0.9991669654846191,Mild_Demented
Benchmark\Moderate_Demented\augmented_11_moderate_38.jpg,Moderate_Demented,8.037081715883687e-05,8.415755291935056e-05,5.2625742682721466e-05,0.9997828602790833,0.9997828602790833,Moderate_Demented
Benchmark\Non_Demented\non_1703.jpg,Non_Demented,0.9993782043457031,0.00027174074784852564,0.00017060607206076384,0.0001793609553715214,0.9993782043457031,Non_Demented
Benchmark\Non_Demented\non_1611.jpg,Non_Demented,0.9992743134498596,0.0003047801728826016,0.00025222887052223086,0.0001686629984760657,0.9992743134498596,Non_Demented
Benchmark\Mild_Demented\augmented_100_mild_408.jpg,Mild_Demented,0.00015599261678289622,0.00034070818219333887,0.9993426203727722,0.00016065315867308527,0.9993426203727722,Mild_Demented
Benchmark\Very_Mild_Demented\verymild_1418.jpg,Very_Mild_Demented,0.0003542564809322357,0.9991211295127869,0.00041012174915522337,0.00011443503171904013,0.9991211295127869,Very_Mild_Demented
