image_path,class,Non_Demented,Very_Mild_Demented,Mild_Demented,Moderate_Demented,Max_Confidence,Max_Confidence_Class
Benchmark\Non_Demented\non_871.jpg,Non_Demented,0.997886598110199,0.0012528840452432632,0.0005208430229686201,0.00033964202157221735,0.997886598110199,Non_Demented
Benchmark\Non_Demented\non_3104.jpg,Non_Demented,0.9985565543174744,0.00046556114102713764,0.0004233421350363642,0.0005545666208490729,0.9985565543174744,Non_Demented
Benchmark\Very_Mild_Demented\augmented_80_verymild_136.jpg,Very_Mild_Demented,0.00035466099507175386,0.9974028468132019,0.0020007966086268425,0.00024165972718037665,0.9974028468132019,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_123_verymild_2182.jpg,Very_Mild_Demented,0.0007808043155819178,0.9981299042701721,0.0004838293243665248,0.0006054174154996872,0.9981299042701721,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_182_moderate_53.jpg,Moderate_Demented,0.00017949803441297263,0.00018490331422071904,0.0001344464108115062,0.9995012283325195,0.9995012283325195,Moderate_Demented
Benchmark\Mild_Demented\augmented_150_mild_261.jpg,Mild_Demented,0.0004849605029448867,0.0005938551621511579,0.9984404444694519,0.000480891321785748,0.9984404444694519,Mild_Demented
Benchmark\Non_Demented\non_3193.jpg,Non_Demented,0.99828040599823,0.0005520774866454303,0.00038868142291903496,0.0007788893417455256,0.99828040599823,Non_Demented
Benchmark\Very_Mild_Demented\verymild_1812.jpg,Very_Mild_Demented,0.000699175987392664,0.9982860684394836,0.0005067138117738068,0.000507968885358423,0.9982860684394836,Very_Mild_Demented
Benchmark\Mild_Demented\augmented_25_mild_523.jpg,Mild_Demented,0.0007070514257065952,0.000491856480948627,0.9981537461280823,0.000647245324216783,0.9981537461280823,Mild_Demented
Benchmark\Moderate_Demented\augmented_11_moderate_38.jpg,Moderate_Demented,0.00019296602113172412,0.0001416492450516671,0.0001161180334747769,0.9995492100715637,0.9995492100715637,Moderate_Demented
Benchmark\Non_Demented\non_1703.jpg,Non_Demented,0.9985454082489014,0.0004709036438725889,0.00039930042112246156,0.0005844594561494887,0.9985454082489014,Non_Demented
Benchmark\Non_Demented\non_1611.jpg,Non_Demented,0.9985265731811523,0.0004602550179697573,0.0004567253345157951,0.0005564162274822593,0.9985265731811523,Non_Demented
Benchmark\Mild_Demented\augmented_100_mild_408.jpg,Mild_Demented,0.0005302542122080922,0.0005887478473596275,0.9985688924789429,0.000312175543513149,0.9985688924789429,Mild_Demented
Benchmark\Very_Mild_Demented\verymild_1418.jpg,Very_Mild_Demented,0.0012655863538384438,0.9976752400398254,0.0007638618699274957,0.0002953001530840993,0.9976752400398254,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_238_moderate_23.jpg,Moderate_Demented,0.00017336016753688455,0.0001294051471631974,0.00017791766731534153,0.9995193481445312,0.9995193481445312,Moderate_Demented
Benchmark\Moderate_Demented\augmented_179_moderate_38.jpg,Moderate_Demented,0.00018786585133057088,0.00012629867705982178,0.0001281514996662736,0.9995576739311218,0.9995576739311218,Moderate_Demented
Benchmark\Mild_Demented\mild_78.jpg,Mild_Demented,0.0005062498385086656,0.0007974912878125906,0.9978177547454834,0.0008785892277956009,0.9978177547454834,Mild_Demented
Benchmark\Very_Mild_Demented\augmented_166_verymild_1284.jpg,Very_Mild_Demented,0.0005394913023337722,0.99828040599823,0.0009592913556843996,0.0002207742363680154,0.99828040599823,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_105_verymild_2100.jpg,Very_Mild_Demented,0.0002712587302085012,0.993861198425293,0.005514554679393768,0.00035303024924360216,0.993861198425293,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_37_verymild_257.jpg,Very_Mild_Demented,0.00040271796751767397,0.997968852519989,0.001306201913394034,0.00032215501414611936,0.997968852519989,Very_Mild_Demented
Benchmark\Mild_Demented\augmented_121_mild_591.jpg,Mild_Demented,0.0008387901470996439,0.7743811011314392,0.22440633177757263,0.00037374996463768184,0.7743811011314392,Very_Mild_Demented
Benchmark\Very_Mild_Demented\augmented_85_verymild_1348.jpg,Very_Mild_Demented,0.0006976666627451777,0.9980779886245728,0.0010677729733288288,0.00015660349163226783,0.9980779886245728,Very_Mild_Demented
Benchmark\Moderate_Demented\augmented_50_moderate_22.jpg,Moderate_Demented,0.00016035941371228546,0.00011609348439378664,0.00022835269919596612,0.9994951486587524,0.9994951486587524,Moderate_Demented
Benchmark\Non_Demented\non_2247.jpg,Non_Demented,0.9663523435592651,0.03235859423875809,0.0002978885895572603,0.0009911975357681513,0.9663523435592651,Non_Demented
Benchmark\Moderate_Demented\augmented_85_moderate_12.jpg,Moderate_Demented,0.00018637007451616228,0.00012206057726871222,0.00014449864102061838,0.9995470643043518,0.9995470643043518,Moderate_Demented
